0.000000 0.000306
0.200000 0.000441
0.400000 0.000777
0.599999 0.001307
0.799997 0.002346
0.999994 0.004643
1.199992 0.008551
1.399989 0.014847
1.599987 0.023664
1.799984 0.034957
1.999981 0.047754
2.199991 0.060903
2.400000 0.076177
2.600009 0.096329
2.800019 0.122404
3.000028 0.153481
3.200037 0.193117
3.400047 0.241596
3.600056 0.299586
3.800066 0.364202
4.000075 0.438399
4.200060 0.521714
4.400046 0.615564
4.600031 0.724697
4.800017 0.852182
5.000002 0.999781
5.199988 1.166751
5.399973 1.353101
5.599959 1.552530
5.799944 1.763350
5.999930 1.987446
6.199915 2.228404
6.399901 2.488660
6.599886 2.766322
6.799872 3.047390
6.999857 3.325872
7.199843 3.621535
7.399828 3.935183
7.599814 4.261419
7.799799 4.600058
7.999785 4.950360
8.199771 5.306144
8.399756 5.656605
8.599742 6.000104
8.799727 6.328819
8.999713 6.644374
9.199698 6.959281
9.399684 7.272197
9.599669 7.589123
9.799655 7.916374
9.999640 8.258855
10.199626 8.606887
10.399611 8.962601
10.599597 9.309928
10.799582 9.656777
10.999568 10.015128
11.199553 10.393510
11.399539 10.795870
11.599524 11.210381
11.799510 11.623755
11.999496 12.041944
12.199481 12.478153
12.399467 12.915415
12.599452 13.373395
12.799438 13.868122
12.999423 14.388195
13.199409 14.927640
13.399394 15.481584
13.599380 16.048074
13.799365 16.586552
13.999351 17.120314
14.199336 17.672273
14.399322 18.225450
14.599307 18.797742
14.799293 19.379558
14.999278 19.947426
15.199264 20.514959
15.399249 21.115599
15.599235 21.751634
15.799220 22.411761
15.999206 23.070048
16.199286 23.725266
16.399366 24.408930
16.599447 25.120479
16.799528 25.851052
16.999609 26.589863
17.199690 27.368407
17.399771 28.175040
17.599852 29.025338
17.799932 29.921086
18.000013 30.871927
18.200094 31.845748
18.400175 32.841707
18.600256 33.847092
18.800337 34.836732
19.000418 35.822481
19.200499 36.775676
19.400579 37.705902
19.600660 38.622076
19.800741 39.549202
20.000822 40.487272
20.200903 41.436604
20.400984 42.445291
20.601065 43.524443
20.801146 44.665420
21.001226 45.812872
21.201307 46.999609
21.401388 48.239202
21.601469 49.507856
21.801550 50.730511
22.001631 51.884229
22.201712 52.999639
22.401793 54.164426
22.601873 55.353783
22.801954 56.552018
23.002035 57.774799
23.202116 58.989495
23.402197 60.184964
23.602278 61.388066
23.802359 62.584240
24.002439 63.735498
24.202520 64.881124
24.402601 66.028804
24.602682 67.152475
24.802763 68.249479
25.002844 69.381225
25.202925 70.498532
25.403006 71.601004
25.603086 72.686600
25.803167 73.750264
26.003248 74.756386
26.203329 75.702479
26.403410 76.581461
26.603491 77.404627
26.803572 78.187043
27.003653 78.983666
27.203733 79.751563
27.403814 80.471518
27.603895 81.148203
27.803976 81.785220
28.004057 82.404232
28.204138 83.038153
28.404219 83.674265
28.604300 84.318283
28.804380 84.928071
29.004461 85.557345
29.204542 86.228975
29.404623 86.969832
29.604704 87.744735
29.804785 88.550697
